0,1,2,3,4,5,6,7
Kcash,KCASH,0.006917,-,$ 4.16 M,$ 6.92 M,,-23.62%
Steem,STEEM,0.1717,-,$ 4.16 M,$ 17.12 M,C+,-1.27%
Ontology Gas,ONGAS,0.08635,-,$ 4.15 M,-,,-0.25%
Measurable,MSDT,0.007008,-,$ 7.25 M,$ 7.01 M,,2.09%
Origin Protocol,OGN,0.2546,-,$ 4.09 M,$ 254.64 M,,1.74%
Ravencoin,RVN,0.01633,"$ 2,334.00",$ 4.03 M,$ 12.50 M,C-,-0.43%
Civic,CVC,0.02032,$ 0,$ 4.01 M,$ 20.32 M,,3.26%
Tripio,TRIO,0.0007709,$ 0,$ 3.90 M,$ 3.85 M,,-8.24%
CyberVein,CVT,0.03815,$ 0,$ 3.52 M,$ 81.93 M,,67.71%
apM Coin,APM,0.1867,-,$ 3.46 M,$ 338.37 M,,-2.82%
COTI,COTI,0.02004,-,$ 3.43 M,-,,-2.43%
Gas,GAS,1.112,$ 0,$ 4.06 M,$ 11.27 M,,0.00%
Status,SNT,0.01654,$ 585.96,$ 4.44 M,$ 112.58 M,,-2.93%
Dogecoin,DOGE,0.001997,$ 44.17 k,$ 71.49 M,$ 247.69 M,C+,3.70%
Theta,THETA,0.08407,-,$ 3.10 M,$ 84.07 M,,-0.59%
Waltonchain,WTC,0.2543,$ 0,$ 3.14 M,$ 17.80 M,D-,3.66%
Enjin Coin,ENJ,0.09434,$ 27.27 k,$ 3.01 M,$ 94.34 M,,-2.00%
Elrond,ERD,0.0008557,-,$ 2.64 M,-,,-7.69%
Sologenic,SOLO,0.2266,$ 882.37 k,$ 2.62 M,-,,0.71%
BiboxCoin,BIX,0.08272,-,$ 2.60 M,$ 20.80 M,,6.03%
Augur,REP,10.1,$ 908.33 k,$ 11.65 M,$ 111.10 M,,-0.30%
FLETA,FLETA,0.004136,-,$ 2.58 M,$ 8.27 M,,7.41%
VITE,VITE,0.01055,-,$ 2.56 M,$ 10.55 M,,-4.52%
Orchid Protocol,OXT,0.135,$ 1.92 M,$ 2.54 M,$ 135.00 M,,-1.10%
Lisk,LSK,1.038,$ 38.23 k,$ 2.84 M,$ 165.92 M,C-,1.54%
NEXO,NEXO,0.1175,$ 0,$ 2.43 M,$ 117.52 M,,-1.61%
Loopring,LRC,0.02924,$ 18.46,$ 2.44 M,$ 40.79 M,,1.49%
Internet,INT,0.01391,$ 0,$ 2.40 M,$ 518.92 k,,1.04%
STP Network,STPT,0.01405,-,$ 2.39 M,$ 27.29 M,,-3.43%
HyperCash,HC,1.062,-,$ 12.86 M,$ 47.35 M,D,0.00%
TenX,PAY,0.03109,$ 0,$ 2.30 M,$ 6.38 M,,-2.46%
BlockMason,BCPT,0.01612,$ 0,$ 2.12 M,$ 1.87 M,,4.15%
